,time,Average speed (km/h),Distance travelled (km),Engine RPM (rpm),Fuel used (L),Vehicle speed (km/h)
0,16:06,1.127413464329491,0.027332856772222202,4268.2,0.0020171665600767,17.2
1,16:07,0.127435131992534,0.0028657055555555,4496.0,0.0122523440266423,10.0
9,16:08,3.64680260455052,0.100820432916667,4670.0,0.0836887764076605,24.0
36,16:09,10.5692462502765,0.470405481027778,3983.0,0.258757346960203,28.0
61,16:10,11.5599330229261,0.704904623611111,1655.0,0.362966282468401,8.0
87,16:11,9.55116583103833,0.744708664972222,3884.0,0.447109050806364,3.0
113,16:12,10.5293800821345,0.997645043,6233.0,0.586199640756613,37.0
138,16:13,19.3872093757479,2.15774423469445,6023.0,1.00157961576139,64.0
164,16:14,17.9544135102466,2.30055360044445,1784.0,1.06023115566642,7.8
189,16:15,15.9218968599358,2.30055360044445,1746.0,1.12264598495424,6.6
215,16:16,18.1007269140544,2.91141994291667,6821.0,1.38370192612645,71.0
241,16:17,22.3236429883139,3.96736121019445,4792.0,1.66451160353176,51.0
266,16:18,22.7095961683844,4.41260828936111,1788.0,1.79897145401585,7.8
292,16:19,24.3835366871578,5.14802855294445,6202.0,2.0573121174343,63.0
318,16:20,26.840050490819,6.11900994038889,5889.0,2.35398933537066,63.0
344,16:21,26.7962707217588,6.55767175852778,1654.0,2.47030573973254,9.0
369,16:22,28.2354077355202,7.36540508194445,7239.0,2.75318802525488,73.0
395,16:23,31.1148758521645,8.65130552847222,6623.0,3.178130334904,53.0
420,16:24,33.674902650464,9.92808911702778,6945.0,3.66134302779064,74.0
444,16:25,35.6574507858095,11.0834550579722,7022.0,4.07126764262019,61.0
469,16:26,36.1091391622,11.8284576293056,7576.0,4.37375165974069,78.0
494,16:27,37.9985882037451,13.0784750110833,7047.0,4.64968112756045,75.0
519,16:28,36.5792451412813,13.2085289986944,1593.0,4.69798714057663,7.8
544,16:29,36.0499729498563,13.6104861611389,6638.0,4.86444940154341,31.0
571,16:30,36.521594737297,14.4236500899167,6068.0,5.11862737906451,65.0
596,16:31,36.3883490235575,14.9586775441111,6362.0,5.29018639734568,55.0
621,16:32,35.8916933671783,15.3516301990555,3176.0,5.40454886792069,13.0
